ERROR(38) | 2019-7-29 11:3:33 | A scene needs to be created before calling saten_run(). (Failed to access the SoundFont /usr/share/sounds/sf2/FluidR3_GM.sf2)
ERROR(38) | 2019-7-29 11:4:30 | A scene needs to be created before calling saten_run(). (Failed to access the SoundFont /usr/share/sounds/sf2/FluidR3_GM.sf2)
ERROR(38) | 2019-7-29 11:6:32 | A scene needs to be created before calling saten_run(). (Failed to access the SoundFont /usr/share/sounds/sf2/FluidR3_GM.sf2)
ERROR(39) | 2019-7-31 10:51:36 | Failed to open file. (Failed to access the SoundFont /usr/share/sounds/sf2/FluidR3_GM.sf2)
ERROR(33) | 2019-7-31 17:34:8 | Failed to load image via IMG_load. (Couldn't open test)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
